time,acc-x,acc-y,acc-y,att-x,att-y,att-z,gyr-x,gyr-y,gyr-z,latitude,logitude,heading
939.4160410165787,-0.002147967,-0.003174258,-0.01172107,0.0737511,-1.964657,0.0001035704,-0.008742989,0.007583863,-0.0006506027,44.81344,20.45823,356.5917
670.750028014183,0.003998338,-0.01387034,-0.02918976,0.1281427,-2.149274,0.04284421,-0.003769589,-0.005987579,0.007864346,44.81483,20.44768,349.5917
1373.623598992825,-0.003912951,0.004894198,-0.03955591,0.009563533,2.53827,-0.07481931,0.01845209,0.03123774,-0.009557188,44.81831,20.45986,210.0893
218.2942180037498,0.007129203,0.007036628,-0.02622104,0.1046856,-1.498934,0.03742642,-0.001320029,-0.002438561,0.005272979,44.81262,20.43302,351.5917
550.8766970038414,0.02091693,-0.00411205,-0.01046707,0.09588834,-2.241467,0.04214001,-0.01151035,-0.005787743,0.007914461,44.81432,20.43997,352.5917
977.8473849892616,-0.06092336,0.04721671,0.06525811,0.1150362,-1.942881,0.01368144,-0.009147427,0.2985488,-0.02332772,44.81344,20.45823,351.5917
716.7858629822731,0.001795688,-0.0252075,-0.01244663,0.0006103712,-2.151807,0.05598808,0.01615049,-0.00584676,-0.002715372,44.81503,20.45169,354.5917
434.3880259990692,0.003902035,-0.004334129,-0.01747583,0.0975202,-2.404831,0.02277368,-0.008069287,0.01528503,0.01538152,44.81441,20.4365,352.5917
1392.007947981358,-0.000786363,0.00380652,-0.09474799,0.1358001,2.58452,-0.04476078,0.05937149,0.1054826,-0.08332793,44.81832,20.45966,227.0893
171.5119619965553,-0.005916483,-0.002857545,-0.01991384,0.1078556,-1.578082,0.03768424,-0.007660566,0.007924272,0.001186952,44.81262,20.43302,346.5917
246.1396030187607,0.003348996,-0.008385297,-0.01171464,0.1079436,-1.4752,0.02433716,0.007274712,-0.003011196,-0.00784191,44.81285,20.43328,351.5917
604.1673690080643,-0.003473295,-0.0276051,-0.06822761,0.2475441,-2.212859,0.02895708,0.003383854,-0.00655996,0.01282284,44.81456,20.44278,356.5917
6.613569974899292,0.007029655,-0.008028654,-0.004052431,0.2075856,-0.06037037,-0.007090382,-0.007797137,0.0228059,-0.01892678,44.8368,20.31816,355.4749
1009.394993007183,0.005727558,0.021442,0.006685291,0.07133769,-1.844337,0.05592141,-0.01590356,-0.04093337,-0.0131823,44.81344,20.45823,353.5917
751.3743990063667,-0.01298356,0.006757943,-0.02733792,0.142509,-2.127442,0.03817526,-0.007496838,-0.01149012,-0.006778989,44.81505,20.45174,356.5917
